Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage Turnout
46012,88616,58573,160,33964,99.2,269,0.8,34233,58.4
46013,85540,64595,179,48199,99.6,203,0.4,48402,74.9
46014,90711,70487,198,53571,99.7,188,0.3,53759,76.3
47001,70034,50917,137,33678,99.5,186,0.5,33864,66.5
47004,72607,56074,182,40179,99.7,109,0.3,40288,71.8
47002,67834,50874,181,36207,99.7,99,0.3,36306,71.4
47003,69471,46824,179,30213,99.7,91,0.3,30304,64.7
47005,76106,58335,180,41965,99.7,142,0.3,42107,72.2
47006,79344,57794,177,39510,99.7,103,0.3,39613,68.5
47007,79587,64325,172,47834,99.6,181,0.4,48015,74.6
47008,72891,54240,172,36883,99.6,152,0.4,37035,68.3
47009,77208,57504,171,42723,99.6,176,0.4,42899,74.6
47012,76704,57021,149,37715,99.6,170,0.4,37885,66.4
47010,72010,59665,178,46086,99.7,137,0.3,46223,77.5
47011,76257,58394,152,44773,99.7,130,0.3,44903,76.9
47013,72058,52963,187,37516,99.7,126,0.3,37642,71.1
47014,71270,54475,202,36613,99.7,95,0.3,36708,67.4
48001,105442,93079,235,66638,99.7,179,0.3,66817,71.8
48002,107140,81746,249,58769,99.7,160,0.3,58929,72.1
48003,103871,76093,208,49988,99.7,151,0.3,50139,65.9
48004,108931,87697,215,61249,99.6,227,0.4,61476,70.1
48005,111785,91061,231,66808,99.7,216,0.3,67024,73.6
48006,108251,75336,201,41047,99.2,345,0.8,41392,54.9
48007,108320,80767,202,58430,99.6,228,0.4,58658,72.6
48008,111227,87848,224,63562,99.7,179,0.3,63741,72.6
48009,109286,82243,206,54562,99.5,255,0.5,54817,66.7
48010,108901,88007,219,63292,99.7,167,0.3,63459,72.1
48011,110296,98085,244,66351,99.7,208,0.3,66559,67.9
48012,109647,85530,223,62519,99.7,189,0.3,62708,73.3
48013,110189,74604,181,44993,99.3,310,0.7,45303,60.7
48014,106121,80173,202,53512,99.6,234,0.4,53746,67
48015,107809,81625,219,47942,99.4,289,0.6,48231,59.1
48016,106262,81361,185,49001,99.6,185,0.4,49186,60.5
48017,106103,74651,191,49517,99.5,227,0.5,49744,66.6
48018,106302,82290,203,57740,99.7,178,0.3,57918,70.4
48019,103183,78635,205,55604,99.6,217,0.4,55821,71
48020,104422,81144,207,53457,99.6,233,0.4,53690,66.2
48021,110644,100871,262,68344,99.7,197,0.3,68541,67.9
48022,105515,83675,232,60986,99.8,141,0.2,61127,73.1
48023,101538,77960,224,47266,99.7,158,0.3,47424,60.8
48024,106738,82665,208,53343,99.7,158,0.3,53501,64.7
48025,104616,79721,233,54779,99.7,155,0.3,54934,68.9
48026,105999,84335,236,56943,99.7,158,0.3,57101,67.7
48027,102847,77892,220,50650,99.8,118,0.2,50768,65.2
48028,108095,77515,227,49519,99.7,170,0.3,49689,64.1
48030,113693,89092,237,61662,99.7,176,0.3,61838,69.4
48029,110793,88322,236,62212,99.8,135,0.2,62347,70.6
48031,105162,85187,221,59208,99.8,146,0.2,59354,69.7
48032,111541,90289,266,66686,99.7,180,0.3,66866,74.1
48033,105733,86994,238,61537,99.7,157,0.3,61694,70.9
48034,98855,76011,245,52525,99.7,161,0.3,52686,69.3
59001,96819,69299,181,48124,99.6,202,0.4,48326,69.7
59002,100632,74982,191,52480,99.5,260,0.5,52740,70.3
59003,105037,75950,196,45887,99.4,275,0.6,46162,60.8
59004,108252,79517,225,53734,99.6,216,0.4,53950,67.8
59005,104398,87600,229,61973,99.7,191,0.3,62164,71
59006,92734,72874,196,50661,99.7,154,0.3,50815,69.7
59007,100318,78189,188,54075,99.7,186,0.3,54261,69.4
59008,110277,85122,208,56511,99.5,287,0.5,56798,66.7
59009,110391,92266,270,69849,99.7,185,0.3,70034,75.9
59010,99160,81888,227,61778,99.6,230,0.4,62008,75.7
59011,100588,75044,212,55689,99.6,200,0.4,55889,74.5
59026,113004,91056,227,68081,99.7,199,0.3,68280,75
59012,109742,75150,205,48763,99.5,269,0.5,49032,65.2
59013,118618,95347,273,69765,99.8,174,0.2,69939,73.4
59014,110051,91131,234,64155,99.6,230,0.4,64385,70.7
59015,107589,86895,260,63206,99.7,197,0.3,63403,73
59016,103084,83065,209,59896,99.7,204,0.3,60100,72.4
59017,90871,63744,187,44651,99.5,209,0.5,44860,70.4
59018,114998,95200,252,71241,99.8,158,0.2,71399,75
59019,108652,80394,197,52642,99.3,363,0.7,53005,65.9
59037,103458,81377,276,60536,99.7,177,0.3,60713,74.6
59020,121474,97554,275,69954,99.8,152,0.2,70106,71.9
59021,109639,85219,207,64354,99.7,218,0.3,64572,75.8
59022,94111,72635,185,52150,99.8,121,0.2,52271,72
59023,108326,79555,211,54667,99.7,174,0.3,54841,68.9
59024,107382,78250,230,51859,99.6,197,0.4,52056,66.5
59025,93863,69678,175,39862,99.4,227,0.6,40089,57.5
59027,104285,86863,238,68140,99.7,201,0.3,68341,78.7
59028,90586,64846,217,44109,99.6,157,0.4,44266,68.3
59029,112096,91999,274,66594,99.7,216,0.3,66810,72.6
59030,94678,76833,207,56631,99.6,219,0.4,56850,74
59031,96610,72225,186,43225,99.3,287,0.7,43512,60.2
59032,111486,71966,176,43198,99.2,352,0.8,43550,60.5
59033,105183,65954,164,44424,99.3,328,0.7,44752,67.9
59034,102480,88470,217,58048,99.6,247,0.4,58295,65.9
59035,110097,89324,226,58708,99.3,405,0.7,59113,66.2
59036,99886,80488,204,53824,99.7,186,0.3,54010,67.1
59038,102003,72438,180,45396,99,471,1,45867,63.3
59039,102416,76038,198,52972,99.7,144,0.3,53116,69.9
59040,100966,70992,184,44611,99.4,259,0.6,44870,63.2
59041,110942,94627,251,71895,99.7,241,0.3,72136,76.2
59042,112875,90554,244,66458,99.7,173,0.3,66631,73.6
60001,33897,26879,82,20291,99.5,94,0.5,20385,75.8
61001,41462,30110,91,18973,99.5,104,0.5,19077,63.4
62001,31906,20252,59,11928,99.2,95,0.8,12023,59.4
